cluster_id,attribute_id,min,max
0x005B,0x0000,0,6
0x0402,0x0000,0x954d,0x7fff
0x0402,0x0001,0x954d,0x7ffe
0x0402,0x0002,0x954e,0x7fff
0x0402,0x0003,0,0x0800
0x0081,0x0006,0,100
0x0081,0x0007,0,100
0x0081,0x0008,1,100
0x0081,0x000A,1,50
0x0038,0x000A,1,2
0x050d,0x0001,0x0000,0xFFFF
0x050d,0x0003,0x0000,0xFFFF
0x050d,0x0005,0x00,0xFF
0x0004,0x0000,0x00,0x80
0x0053,0x0001,0x00,0x1F
0x0406,0x0000,0x00,0x01
0x0406,0x0001,0x00,0xFE
0x0406,0x0002,0x00,0x07
0x0406,0x0012,0x01,0xFE
0x0406,0x0022,0x01,0xFE
0x0406,0x0032,0x01,0xFE
0x0098,0x0000,0x00,0xFF
0x0098,0x0002,0x00,0x04
0x0098,0x0007,0x00,0x03
0x0036,0x03,0x0000,0xFFFF
0x0036,0x04,-120,0
0x0036,0x05,0x00000000,0xFFFFFFFF
0x0036,0x06,0x00000000,0xFFFFFFFF
0x0036,0x07,0x00000000,0xFFFFFFFF
0x0036,0x08,0x00000000,0xFFFFFFFF
0x0036,0x09,0x00000000,0xFFFFFFFF
0x0036,0x0A,0x00000000,0xFFFFFFFF
0x0036,0x0B,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x0036,0x0C,0x0000000000000000,0xFFFFFFFFFFFFFFFF
0x005C,0x000B,0,2
0x0200,0x0000,0x8001,0x7FFF
0x0200,0x0001,0x0000,0xFFFE
0x0200,0x0002,0x0000,0xFFFE
0x0200,0x0003,0x8001,0x7FFF
0x0200,0x0004,0x8001,0x7FFF
0x0200,0x0005,0x8001,0x7FFF
0x0200,0x0006,0x8001,0x7FFF
0x0200,0x0007,0x0000,0xFFFE
0x0200,0x0008,0x0000,0xFFFE
0x0200,0x0009,0x0000,0xFFFE
0x0200,0x000A,0x0000,0xFFFE
0x0200,0x000B,0x954D,32767
0x0200,0x000C,0x954D,0x7FFF
0x0200,0x0011,0x00,0x03
0x0200,0x0012,0x00,0x07
0x0200,0x0013,0x0000,0x7FFF
0x0200,0x0014,0x0000,0xFFFE
0x0200,0x0020,0x00,0x03
0x0200,0x0021,0x00,0x07
